0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.75,0.37,0.5,0.5,0.63,0.63,0.12,1.25,0.63,0.5,-6.75,-10.13,2.75,10.75,-10.63,-2.5,-2.5,-0.5,-2.13,-3,-1,-1.5,-2.25,-0.12,-1.12,1.12,0.12,1.63,-1.12,0,7.13,-0.88,0,1.25,2,1.25,1.061161575
1,0.25,0.37,0.5,-0.12,0.88,0.88,1,0.5,0.5,-5.25,-22,-10.5,30.37,-0.25,-2.5,-2.38,-0.5,-2.25,-3,-0.88,-1.5,-2.13,-0.37,-1.12,0.88,-0.12,1.63,-1.25,0.25,0.75,-1,-0.12,1.25,2.13,1.75,1.036912226
1.12,0.25,0.37,0.37,-0.12,0.75,0.5,0.88,0.5,0.37,-4.88,-8.75,0.37,10.5,-1.12,-2.63,-2.5,-0.37,-2.13,-3,-0.88,-1.63,-2.13,-0.25,-1,1,0.12,1.63,-1.12,0.25,0.75,-0.75,0.12,1.12,2.13,1.5,1.015103959
0.37,0.5,0.37,0.5,0.37,0.75,0.12,1.25,0.63,0.5,-12,-13.75,31.25,5.5,0.5,-2.5,-2.38,-0.5,-2.13,-3,-0.75,-1.5,-2,-0.37,-1.25,0.63,0.25,1.63,-1,0,10.38,-0.5,0,1.25,2.75,1.37,0.997295478
0.63,0.75,0.37,0.5,0.63,0.63,0,1.5,0.63,0.63,-31,-4.88,11.38,3.75,-10.13,-2.63,-2.38,-0.5,-2.13,-2.75,-0.88,-1.63,-1.88,-0.25,-1.25,0.75,0.25,1.63,-0.88,-0.25,1.75,-0.37,-0.12,1.25,2.63,1.12,0.984059122
0.37,1,0.5,0.75,0.37,0,0,1.37,0.37,0.5,-9.5,0.88,11.25,0.25,-10.75,-2.5,-2.38,-0.5,-2.25,-2.88,-0.88,-1.63,-1.88,-0.37,-1.37,1,0,-0.75,-1.12,-0.37,4.5,-0.5,0,1.37,2.5,0.63,0.973906534
0.63,1,0.25,1.25,0.5,0,0.25,1.37,0.63,0.88,-4.63,22.75,6.5,-10.38,-10.25,-2.5,-2.38,-0.75,-2.13,-3,-0.88,-1.37,-2,-0.5,-1.25,1,-0.12,0.37,-1.12,-0.37,-0.5,-0.37,-0.12,1.63,2.5,0.63,0.963608342
1,1.12,0.25,1.12,0.25,-0.37,0.5,1.5,0.37,0.75,-4.75,26.12,-6.13,0.37,-0.12,-2.5,-2.5,-0.63,-2.25,-2.88,-0.88,-1.37,-2,-0.63,-1.12,0.88,0,1.12,-1.12,-0.75,-0.37,-0.5,-0.12,1.75,2.25,0.25,0.948947628
0.5,0.75,0.25,0.88,-0.37,-0.12,0.5,1.37,0.75,0.63,1.5,4.88,-10.25,-9.63,-0.63,-2.5,-2.5,-0.75,-2.13,-2.88,-0.88,-1.37,-2.13,-0.5,-1.12,1.12,-0.12,2.13,-1.25,-0.37,0.37,-0.63,0.12,1.75,1.75,0.5,0.926714031
1.12,1.12,0.63,0.75,-0.63,0.25,0.5,1.37,0.88,0.63,26.37,4.38,-15.38,-5.13,-18.62,-2.5,-2.38,-0.63,-2.13,-3.25,-0.75,-1.5,-2.13,-0.37,-1.12,1,0,2,-1.25,0,0.12,-0.5,0.37,1.5,1.63,0.88,0.895851948
0.88,0.88,0.88,0.75,-0.63,0.25,0.5,1.12,0.88,0.63,20.75,-6,-14.88,-4.63,-14.63,-2.5,-2.38,-0.5,-2.25,-2.88,-0.75,-1.5,-2.13,-0.37,-1.25,0.75,0.25,4.25,-1.37,-0.25,0.25,-0.63,0.37,1.12,1.5,1,0.85799392
0.88,0.75,0.75,0.37,-0.37,0.37,0.37,1.5,0.88,0.37,5.25,-11.13,0.25,-6.88,-13.63,-2.63,-2.63,-0.5,-2.25,-2.75,-0.75,-1.63,-2.25,-0.37,-1.25,0.75,0.25,2.5,-1.12,-0.25,0.12,-0.12,0.25,1,2.13,1,0.816777733
0.75,1.5,0.88,0,0.12,0.25,0.63,1.88,0.88,0.25,0,-10.13,1.5,-38,-8.25,-2.63,-2.5,-0.5,-2.13,-2.75,-0.63,-1.63,-2.13,-0.37,-1.25,1,0.25,2.75,-1,-0.12,-0.37,-0.37,0,0.75,2.25,1,0.776138422
0.63,1.37,0.5,-0.12,0.12,0.25,0.25,2,0.63,0.37,-10.13,-9.88,-0.5,-16.37,-4.63,-2.5,-2.5,-0.63,-2.13,-3,-1,-1.5,-2.13,-0.37,-1.37,0.37,0.5,1.5,-1.12,0.12,-0.88,-0.25,-0.12,0.88,2.38,0.88,0.73943995
1.63,1.25,0.12,0.5,0,0.12,1,2,0.25,0.5,-15.38,-9.63,-13.13,-14.13,17.75,-2.5,-2.5,-0.63,-1.88,-2.75,-0.88,-1.5,-2,-0.37,-1.12,0.75,0,0.75,-1,-0.37,-5.88,-0.5,-0.75,1.25,2.25,0.75,0.709243627
1.37,1.5,-0.37,0.63,0.12,0.12,1.12,1.63,0.37,0.5,-10.13,1,-40.75,-4.13,26.62,-2.63,-2.5,-0.5,-2.13,-2.88,-1,-1.5,-2.13,-0.37,-1.12,0.88,0.25,1.37,-0.88,-0.25,-9.5,-0.5,-0.37,1.37,2.13,0.75,0.687560916
1.37,0.63,-0.37,0.5,0.12,0.37,1,1.12,0.25,0.5,-9.38,4,-15,8.25,5.5,-2.5,-2.38,-0.63,-2,-3,-0.88,-1.5,-2.13,-0.63,-1.12,1.12,0.37,1.25,-1.12,0,-8.75,-0.88,-0.25,1.25,2.13,1.37,0.675667626
