0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1.88,0.75,0.88,0.12,-1.63,-1.88,-0.88,-2,-3.38,-5.75,2.5,2.13,1,-5.88,-3.75,-1.88,-5.88,-4,-6.38,-5.38,-2.88,-2.88,-0.88,0.5,2,2,1.25,2.63,6.13,3.13,3.38,-5.75,1.25,-6.5,-15.63,-9,1.08868606
1.75,0.75,0.75,0.25,-1.63,-1.88,-0.75,-2.13,-3.38,-5.88,2.63,1.88,1.75,-6,-3.63,-1.12,-5.5,-4,-6.25,-5.38,-2.88,-2.75,-0.5,0.5,2,1.75,1.12,3.13,6.13,3,3.63,-9.88,-5.38,-30.25,-16.25,13.5,1.063787868
1.88,0.75,0.88,0.25,-1.63,-1.88,-0.75,-2,-3.5,-5.63,2.75,1.75,2.13,-5.88,-4,-5.38,-6,-3.88,-6.25,-5.38,-2.88,-2.25,-1,0,2.25,1.88,1.25,3.13,5.88,2.88,3.63,-9.38,0.12,-16.75,-4,15.5,1.041146001
1.88,0.75,0.88,0.37,-1.63,-1.5,-0.75,-2,-3.38,-5.63,2.88,1.88,1.88,-6,-3.75,-9.38,-6.13,-3.88,-6.25,-5.5,-3,-2.5,-1.25,0,2.13,1.75,1.5,2.88,5.63,3,3.63,-9.63,-8.5,-19.37,27.87,6.38,1.021291485
1.88,0.75,0.88,0.37,-1.75,-1.75,-0.75,-2.13,-3.38,-5.75,3.13,1.75,2.25,-6.13,-3.63,-4.63,-5.88,-3.88,-6.38,-5.5,-2.25,-2.63,-1.37,0.5,2,1.63,1.88,2.75,5.5,3.25,3.63,1.5,-10.5,-9.25,14,4.13,1.005128597
1.88,0.75,0.88,0.12,-1.63,-1.88,-0.75,-2,-3.38,-5.75,2.88,1.5,2.63,-6.13,-3.63,7,-5.75,-3.88,-6.38,-5.63,-2.38,-2.75,-1.25,0.63,2.13,2.13,1.63,2.13,5.63,3.13,3.63,-2.25,-9.13,18.75,8.63,-10.13,0.991532595
1.75,0.75,1.12,0.37,-1.75,-1.88,-0.88,-2,-3.25,-5.75,3,1.5,2.38,-5.75,-3.5,5.38,-6,-3.88,-6.38,-5.13,-2.5,-3,-1.12,0.5,2,2.25,1.5,2.13,5.88,3.13,3.5,-21.62,-4.38,40.13,-0.25,-9.63,0.977868992
1.75,0.75,1,0.25,-1.75,-1.75,-0.88,-2.13,-3.25,-5.38,2.88,1.63,2.63,-5.75,-3.63,1.75,-6,-3.88,-6.63,-5.13,-2.63,-2.88,-1.12,0.5,2.25,2.25,1,2.13,5.88,3.13,3.63,-9.75,1.75,6.75,-6.38,-9.88,0.960248734
1.88,0.88,0.88,0.25,-1.75,-1.88,-0.75,-2,-3.25,-5.5,3,1.63,-0.25,-5.75,-4,4.88,-5.88,-4,-6.38,-5.13,-3,-2.75,-1.12,0.37,2.5,2,0.88,2.63,5.88,3.13,3.75,-8.75,31,3,-11,0,0.935258269
1.88,0.88,0.88,0.25,-1.88,-1.88,-0.75,-1.75,-3.38,-5.75,3,1.63,1.25,-5.75,-3.75,-1.5,-6.13,-4,-5.88,-5.38,-3.13,-2.75,-1.12,0.37,2.5,2.13,1,2.5,5.88,3.13,3.75,0.5,6.5,0.88,-10,-0.75,0.901879105
1.88,0.75,1,0.25,-1.75,-1.88,-0.75,-2.13,-3,-5.75,2.88,1.63,3,-5.88,-3.75,0,-6.13,-4.13,-6.13,-5.5,-2.88,-2.88,-1.5,0.5,2.63,1.63,1,2.5,5.88,3.13,3.75,26.75,7,-16.12,-5.25,2.38,0.862104865
1.88,0.75,0.88,0.37,-1.75,-1.75,-0.63,-2.13,-3.38,-5.63,3,1.25,2.63,-5.75,-3.63,0.12,-6,-3.5,-6.25,-5.63,-2.75,-2.75,-1.25,1.25,2.13,1.12,1.25,2.5,5.75,3.5,3.75,16.87,-0.63,-15.38,-5.13,-16,0.819576175
1.88,0.75,0.88,0.25,-1.75,-1.88,-0.75,-2.13,-3.38,-5.75,2.88,1.5,5.38,-5.75,-3.63,0.25,-6.13,-3.63,-6.63,-5.5,-2.63,-2.88,-1.37,0.75,2,1.63,1.37,2.5,6.13,3.5,3.5,6.25,-5.13,-15.25,-7.25,-14.75,0.7778999
1.88,0.63,1,0.25,-1.63,-1.63,-1,-2.13,-3.38,-5.75,2.63,1.63,2.38,-5.88,-3.75,0,-5.75,-3.75,-6.63,-5.63,-2.75,-2.88,-0.63,0.88,1.75,1.88,1.25,2.38,6.38,3.5,3.38,-0.5,0.63,-15.88,-31.5,-4,0.739754703
