0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-0.37,-15.13,-18.25,-14.88,-0.88,-0.63,0,-0.75,-1.63,-0.25,-0.37,-1.12,-0.63,-2.25,1.12,0.5,2.75,-2.75,-0.63,0,-1.37,-0.5,-2.5,-1.25,-0.25,-0.5,0.63,0.75,0.37,1.12,0.5,0.75,3.13,0.88,0.75,5.13,0.706931401
-10.38,-9.5,-26,-8.88,-0.75,-0.5,0.12,-0.88,-1.25,-0.25,-0.37,-1,-0.75,-2.25,1.12,0.75,2.75,-2.63,-0.63,-0.88,-1.63,-0.88,-2.25,-1.25,-0.37,-0.37,0.5,0.12,1.25,1,0.37,1.25,2.75,0.5,0.88,-10.88,0.728503331
-9.38,-27.37,-14.88,11.88,-0.88,-0.63,0,-0.5,-1.25,-0.5,-0.37,-1,-0.75,-2.13,1.88,0.63,0.75,-2.5,-0.88,-9.75,-1.88,-1,-2,-1.5,-0.37,0.37,0.37,-0.25,1.12,1,0.37,1.37,2.25,0.25,1,-10.25,0.7544412
0.12,-30.25,-4.88,19.62,-0.75,-0.63,0,-0.63,-1.63,-0.37,-0.37,-1,-0.75,-2.13,1.88,0.63,1.5,-2.75,-0.5,-8.75,-2,-1.12,-1.88,-1.63,-0.5,0.12,0.12,-0.37,1.12,1,0.88,1.37,2,0.5,1,0.25,0.782193544
3.63,-14.75,13,6.88,-0.75,-0.63,0.12,-0.63,-1.63,-0.25,-0.25,-1,-0.75,-2.38,2.13,0.63,1.88,-2.63,-0.25,-4.25,-2.38,-0.75,-1.88,-1.63,0.25,0,-0.25,0,1.25,0.88,1.12,1,1.63,0.75,1,0.37,0.810103356
-15.5,-3.5,31,4.13,-0.75,-0.63,0.12,-0.75,-1.63,-0.25,-0.25,-1,-0.5,-2.13,1.63,0,2.25,-2.88,-0.37,6.5,-2.25,-0.88,-1.88,-1.5,0.12,0,-0.88,0.5,1.25,0.88,1.12,0.88,1.63,0.63,1,-0.63,0.83787666
-10.13,9.25,6.13,-6.88,-0.75,-0.63,0.12,-0.75,-1.63,-0.37,-0.25,-1.12,-0.63,-2.38,1.75,0.25,1.88,-2.25,-0.25,15.5,-2.13,-0.63,-1.88,-1.25,0.12,-0.63,-0.37,0.5,1.12,1.75,0.75,0.37,2,0.75,1,-28.12,0.866788862
-9.13,13.75,4.25,-10.88,-0.88,-0.5,0.12,-0.75,-1.5,-0.37,-0.25,-1,-0.63,-2.5,1.5,0.37,2.75,-2.5,-0.75,4.13,-2,-0.63,-2.13,-0.75,-0.12,-0.88,-0.37,0.5,1.12,1.88,0.75,0.37,1.88,0.75,1,-19.37,0.898953274
-5,9.63,-4,-10.5,-0.75,-0.37,0.12,-0.63,-1.5,-0.25,-0.37,-0.88,-0.63,-2.25,1.63,0.37,-0.25,-2.5,-0.75,4.5,-2,-0.75,-2.13,-1,-0.37,-1.12,-0.25,0.37,1.63,1.25,0.12,0.75,2.25,0.63,1.12,-9.13,0.936059438
8.5,7.5,-10.75,-10,-0.75,-0.5,0,-0.75,-1.5,-0.25,-0.12,-0.75,-0.75,-2.5,1.75,0.25,1.75,-2.13,-0.88,5.25,-1.88,-0.75,-1.5,-1.25,-0.75,-0.37,0.12,0.5,2,1.25,-0.12,0.75,2.25,0.75,1.25,-4.63,0.977601324
11.25,-0.88,-9.25,0.75,-0.75,-0.75,0,-0.75,-1.5,-0.25,-0.25,-0.88,-0.75,-2.38,1.75,0.25,2.38,-2.63,-0.88,-1.12,-2,-1,-1.5,-1.5,-0.88,-0.37,0,0,1.75,0.63,-0.25,1,2.13,1.12,1.25,6.25,1.020511693
6.75,-10.5,-0.37,10,-0.75,-0.63,0,-0.75,-1.37,-0.25,-0.12,-1.12,-1,-2.25,1.75,0.25,1.63,-2.75,-0.88,0.37,-2,-0.5,-1.63,-1.63,-0.37,-0.25,-0.12,0.63,1.5,0.37,0.37,0.88,2.13,1.12,1.12,30.75,1.060896124
4,-15.13,0.5,-18.25,-0.75,-0.75,0,-0.63,-1.63,-0.12,-0.25,-1.12,-0.63,-2.38,1.63,0,3,-2.75,-0.75,-0.37,-2,-0.37,-1.75,-2,-0.37,-0.5,-0.12,1.12,1,0.25,0.63,0.88,2.13,1.12,1.12,5.38,1.096010051
-4.38,-15.38,5,-10.75,-0.75,-0.63,0.12,-0.75,-1.63,-0.25,-0.37,-1.12,-0.75,-2.25,1.63,0,4.25,-2.63,-0.63,0.12,-2,-0.37,-2.38,-1.75,-0.25,-0.25,0,1,1,1.12,0.63,0.63,2.88,1.12,1,4.63,1.124934501
-10.13,-15.88,-22.62,-14,-0.75,-0.63,0.12,-0.75,-1.5,-0.12,-0.37,-1,-0.63,-2.25,1.25,0.37,3.38,-2.5,-0.75,-0.5,-1.5,-0.5,-2.38,-1.5,-0.37,-0.63,0.63,0.75,0.5,1,0.5,0.63,2.88,0.75,0.75,-5.63,1.148234617
0.37,-14.13,-16.87,-5.63,-0.88,-0.63,0,-0.75,-1.37,-0.25,-0.63,-0.88,-0.63,-2.25,1.25,0.75,3.38,-2.5,-0.5,-0.25,-1.75,-0.88,-2.38,-1.25,-0.25,-0.25,0.25,0.37,0.75,1,0.37,1.37,2.63,0.5,0.75,0.75,1.167324566
-10.25,-11.63,-16,22.37,-0.75,-0.63,0,-0.5,-1.5,-0.5,-0.37,-0.88,-0.63,-2.25,1.75,0.5,1,-2.5,-0.63,-10,-1.88,-1.12,-1.88,-1.37,-0.37,0.25,0.25,0,1.37,1,0.5,1.37,2.38,0.25,1,-10.13,1.183956843
0.75,-46,-4.38,30.5,-0.75,-0.63,0,-0.88,-1.37,-0.5,-0.25,-0.88,-0.63,-2.13,1.75,0.5,1.37,-2.75,-1,-5.25,-1.88,-1.25,-2,-1.37,-0.5,0.37,0.12,-0.37,1.37,1.12,0.88,1.5,2,0.25,0.88,-10.13,1.199811165
