0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.88,0.88,0.12,-0.37,-10.25,-4.88,-24.37,-18.62,27.37,-3.5,-3.63,-1.12,-2.75,-3.13,-1.5,-2.25,-2.25,-0.25,-0.5,1.25,0.63,1,-0.88,0.12,-6.5,0.5,0.25,2,3.25,1.5,1.63,1.37,-0.25,0.12,-0.37,0.25,1.081841876
1,1,0.25,-0.63,-10.5,-9.38,-11.75,-10.75,-4.5,-3.5,-3.63,-1.12,-2.88,-3.13,-1.25,-2.25,-2.25,-0.25,-0.63,1.12,0.5,0.88,-0.5,0.12,-11.25,0.63,0.12,1.75,3.13,1.5,1.88,1.37,-0.25,0.12,-0.25,0.12,1.050927219
0.88,1.12,0.12,-0.5,0.5,-5,-24,-14.63,26.5,-3.38,-3.5,-1.12,-2.75,-2.88,-1.25,-2.13,-2.38,-0.25,-0.25,1.5,0.25,1.25,-0.63,0,-10,0.63,0,2,2.88,1.5,2.38,1.12,-0.37,0.12,-0.37,0,1.02270235
1,0.75,0,-0.37,1.5,0.5,-25.25,-8.88,11.63,-3.5,-3.5,-1.12,-2.5,-3.13,-1.37,-2.13,-2.38,-0.37,-0.5,1.75,0.63,1.5,-0.63,-0.12,-6.75,0,0,2.13,2.88,1.5,2.38,0.88,0,0.25,-0.5,0.37,0.998297844
0.63,0.63,-0.12,-0.37,0.37,-2.88,-10.25,13.38,5.38,-3.38,-3.63,-1.12,-2.63,-3.38,-1.25,-2.13,-2.5,0,-0.25,1.5,0.5,2.38,-0.75,0.37,-2.88,0,0.5,2,2.88,2.25,1.63,0.37,0,0.25,-0.5,0.75,0.97846173
0.63,0.37,0.37,-0.37,-4.88,-15,-11.25,25.87,4.38,-3.5,-3.63,-1.12,-2.88,-3.13,-1.25,-2.13,-2.5,0,-0.5,1.5,0.12,1.88,-0.63,0.12,7,0,0.37,2,2.88,2,1.63,0.25,0.12,0,-0.12,0.63,0.962547164
0,0.25,0.37,-0.5,-4.25,-10,2.13,7.75,-10.88,-3.5,-3.5,-0.88,-2.88,-3.13,-1.25,-2.25,-2.38,-0.12,-0.5,1.37,0.12,1.5,-0.25,0.12,10.63,0.37,0.63,1.88,3.63,1.88,1.5,0.37,0.37,0,0.25,0.5,0.948651481
0,1,0.5,-0.5,-18,-3.5,36.63,9.75,-10.5,-3.5,-3.5,-1,-2.88,-3.25,-1.37,-2.25,-2.25,-0.12,-0.63,1.5,0.25,1.75,-0.25,0.37,2.25,0.37,0.37,2,3.38,1.88,1.12,0.88,0.12,0,0.12,0.37,0.933626843
-0.12,0.88,0.37,-0.37,-19.75,0.88,7.63,-7,-9.88,-3.38,-3.38,-1.12,-2.88,-3.13,-1.5,-2.25,-2.25,-0.25,-0.63,1.37,0.25,-0.88,-0.25,0,9.5,0.37,0.5,2.13,3.5,1.37,1.5,0.88,0.25,0.63,0,-0.12,0.913703712
0.5,0.75,0.37,-0.37,-15.5,27.12,5.25,-10.63,-0.75,-3.38,-3.5,-1.25,-2.88,-3.25,-1.25,-2.13,-2.25,-0.37,-0.63,1.5,0.37,1.88,-0.37,-0.12,-0.12,0.5,0.37,2.5,3.13,1.12,1.5,0.88,0.12,0.63,-0.25,-0.37,0.886461738
