0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2.13,0.5,0.75,0.88,0.37,1.75,0.37,-0.12,-0.75,1.25,0.12,0.75,-10.63,12.38,5.88,-10.5,-10.38,-2.25,-2,-0.63,-2,-2.5,-0.75,-1.25,-2.13,-0.5,-1.5,0.75,0.12,-1.25,-1.12,-0.12,4.75,-0.5,0,1,1.075784208
2.13,0.63,0.37,1,0.25,1.25,0.63,0,-1.37,1.25,0.37,0.63,-4.75,6.75,3.75,-5.25,-10.13,-2.25,-2.25,-0.5,-1.88,-2.5,-0.75,-1.63,-2.13,-0.25,-1.5,0.63,0.12,-1.63,-0.75,-0.25,0.5,-0.5,0,1.12,1.049052084
2.5,0.75,0.5,0.88,0.37,1.37,0.5,-0.12,-1.88,1.37,0.25,0.75,-9.38,26.75,3.75,-11.13,-10.13,-2.25,-2,-0.63,-2,-2.5,-0.75,-1.12,-2,-0.75,-1.37,0.63,0.12,0.25,-1,-0.5,0,-0.5,-0.12,1.37,1.025796659
2.13,0.63,0.5,1,0.25,1.75,0.25,-0.37,-0.12,1.37,0.37,0.88,-9.63,11,0,-10,0.5,-2.25,-2.13,-0.63,-2,-2.63,-0.75,-1.5,-2,-0.5,-1.37,0.63,0.12,0.75,-1.5,-0.37,0,-0.5,-0.25,1.63,1.006198961
1.75,0.37,0.88,0.88,0.37,1.5,-0.25,-0.12,0.25,1.12,0.37,0.75,7.63,6,-11,0.25,5,-2.25,-2.25,-0.63,-2,-2.63,-0.5,-1.37,-2.13,-0.63,-1.25,0.5,-0.12,1.37,-1.5,-0.12,0.37,-0.5,0.25,1.37,0.990949019
1.63,0.63,0.88,0.63,0.37,1.25,-0.25,0.12,0.5,1.12,1,0.63,25.62,4.13,-15.75,-4.5,-23,-2.25,-2,-0.5,-2,-2.5,-0.75,-1.5,-2.13,-0.37,-1.37,0.5,0.25,2.38,-1.37,-0.37,0,-0.75,0.37,1.25,0.978841109
1.25,1,1.12,0.75,1,1,-0.5,0.37,0.5,1.37,0.75,0.75,9.75,-10.63,-15.25,-0.63,-20.87,-2.25,-2.25,-0.5,-2,-2.5,-0.63,-1.63,-2.38,-0.37,-1.25,0.25,0.25,3,-1.63,0,-0.37,-0.37,0.25,0.88,0.967013554
1.63,0.88,0.63,1.12,1,0.63,0,0.37,0,1.75,0.5,0.5,3.5,-10.5,-0.5,-18.25,-17.75,-2.25,-2.25,-0.5,-2.13,-2.38,-0.5,-1.75,-2.13,-0.37,-1.37,0.37,0.37,1.25,-1.5,-0.12,-0.63,-0.37,0.12,0.63,0.951612517
1.88,1,0.75,1.63,0.5,0.25,0.12,0.37,-0.25,1.5,0.5,0.37,-5.38,-10,-8.63,-25.62,-4.63,-2.25,-2.25,-0.63,-2,-2.38,-0.75,-1.63,-2.13,-0.37,-1.5,0.25,0.5,1.75,-1.37,-0.37,-1,-0.25,0,0.63,0.928987549
1.88,1,0.75,1.37,0,0.75,0.25,0.12,2.25,1.63,0.25,0.63,-10.63,-10.13,-9.5,-9.75,18.25,-2.38,-2.13,-0.63,-1.75,-2.5,-0.75,-1.63,-2,-0.37,-1.25,0.5,0.37,1,-1.37,-0.25,-8.38,-0.37,-0.37,1.12,0.897753414
1.88,0.75,1.63,1.12,0,1,0.12,0.12,7.63,1.37,-0.12,0.63,-9.75,0.12,-41.38,-5,31.37,-2.25,-2.13,-0.5,-1.88,-2.75,-0.75,-1.63,-2.13,-0.63,-1.12,0.75,0.37,1,-1.63,-0.25,-4.63,-0.5,-0.37,1.12,0.859589813
1.88,0.63,1.37,1,-0.37,1.12,0.12,0.25,8,0.75,-0.12,0.63,-9.25,-2.13,-10.5,12.75,5.88,-2.25,-2.13,-0.37,-1.63,-2.63,-0.75,-1.5,-2.13,-0.37,-1.25,0.5,0.5,1.37,-1.5,0.25,-4.38,-0.75,0.12,1.12,0.818034459
1.75,1.12,1,0.5,0,1,-0.12,0.88,3.75,0.63,0.25,0.5,-10.25,-19.75,-9.75,32.5,-0.5,-2.25,-2.25,-0.37,-1.88,-2.63,-0.75,-1.63,-2.13,-0.25,-1.12,1,-0.12,1.63,-1.37,0.12,0.63,-0.75,0,1.12,0.77679044
1.75,1.5,1.12,-0.12,0.5,0.88,0.12,0.63,1.25,0.88,0.25,0.63,-3.88,-10.75,2.5,9.88,-11.38,-2.25,-2.13,-0.37,-2,-2.63,-0.75,-1.63,-2.13,-0.37,-1.37,0.75,0.12,1.63,-1.12,0,10.88,-0.75,0.12,1,0.738974869
2.38,1.5,0.5,0.37,0.25,0.88,0.75,0.63,-1.75,1.25,0.37,0.63,-21.37,-8.38,37.5,3.63,-10.25,-2.25,-2.13,-0.5,-2,-2.63,-0.75,-1.5,-1.75,-0.25,-1.63,0.37,0.12,1.63,-0.88,-0.12,4.5,-0.75,0,1,0.706917521
2.38,1.12,0.25,0.88,0.5,0.63,0.75,0.12,-0.37,1.25,0.37,0.5,-10.38,-5.13,10.38,-5.88,-0.37,-2.25,-2.13,-0.5,-1.88,-2.5,-0.75,-1.63,-2,-0.37,-1.37,0.5,0.12,-1.25,-1,-0.25,4.88,-0.5,0,1,0.682069472
2.25,0.88,0.5,1,0.25,1.63,0.5,-0.12,-1.63,1.12,0.25,0.63,-10.13,17.37,4.63,-10.63,0.5,-2.25,-2.13,-0.75,-2.13,-2.5,-0.75,-1.5,-1.88,-0.5,-1.5,0.63,0,0.25,-1.25,-0.37,4.5,-0.5,-0.12,1.5,0.665849864
2.13,0.5,0.5,0.88,0.25,1.5,0.25,-0.37,-0.25,1.12,0.37,0.75,-4.13,24,0.12,-9.88,-0.12,-2.25,-2.13,-0.5,-1.88,-2.63,-0.75,-1.5,-1.88,-0.5,-1.37,0.75,0.12,1,-1.37,-0.5,0,-0.63,-0.25,1.5,0.659534142
1.75,0.25,0.75,1,0.12,1.37,-0.12,0,0,1.25,0.5,0.63,12.75,5.88,-9.88,-10.13,4.38,-2.25,-2.25,-0.5,-2,-2.63,-0.75,-1.5,-2.13,-0.5,-1.25,0.63,-0.12,2.5,-1.5,-0.12,0.37,-0.75,0.37,1.25,0.663331984
1.37,0.88,1,0.5,0.88,1,-0.5,0.25,0.37,1.25,0.75,0.63,30.37,3.88,-15.38,0,-21.87,-2.25,-2.13,-0.5,-2,-2.63,-0.5,-1.37,-2.38,-0.37,-1.25,0.5,-0.25,3.25,-1.5,-0.12,0.25,-0.75,0.37,1.12,0.676581727
1.25,1,0.88,0.75,1,0.63,-0.5,0.37,0.25,1.12,0.75,0.63,7,-6.25,-14.5,3.88,-5,-2.25,-2.13,-0.5,-2,-2.75,-0.63,-1.63,-2,-0.37,-1.37,0.5,-0.12,2.88,-1.63,-0.12,-0.12,-0.25,0.25,0.88,0.697449314
1.63,0.88,0.88,1.12,0.75,0.5,0.12,0.37,0.12,1.88,0.75,0.37,4.13,-9.88,-14.63,-18.12,-10,-2.25,-2.13,-0.5,-1.88,-2.5,-0.63,-1.75,-2.13,-0.37,-1.37,0.37,0.37,1.63,-1.12,-0.12,0.25,-0.25,0.25,0.5,0.723872977
2,0.88,0.63,1.5,0.5,0.37,0.12,0.25,-1,1.63,0.37,0.37,-5.75,-9.75,-4.25,-25.5,-4.25,-2.25,-2.25,-0.5,-1.88,-2.5,-0.63,-1.75,-2.13,-0.25,-1.37,0.75,0.5,1.25,-1.37,-0.37,-1.37,-0.37,-0.37,0.88,0.753572671
2,0.88,1.12,1.37,0.12,1,0.12,0.25,5.5,1.63,0.12,0.37,0.75,-9.38,-28.62,-15.75,11.88,-2.38,-2.13,-0.5,-1.88,-2.38,-0.88,-1.5,-2,-0.37,-1.25,0.5,0.25,0.5,-1.37,-0.25,-4.5,-0.5,-0.37,1.12,0.784932385
1.88,0.88,1.5,1.25,0,1,0.12,0.25,3.88,1.37,0,0.5,0.5,-0.88,-22.25,-4.75,31.5,-2.25,-2.13,-0.63,-1.75,-2.75,-0.88,-1.5,-2.13,-0.37,-1.12,0.75,0.5,1.12,-1.25,-0.12,-4,-0.63,-0.37,1.12,0.81755019
2,0.75,1.12,0.25,-0.5,0.88,0,0.63,5.13,1,0.25,0.5,-9.75,3.63,-21,23.5,6.75,-2.25,-2.13,-0.37,-2,-2.5,-0.75,-1.5,-2.25,-0.25,-1.12,0.63,0.37,1.5,-1.37,-0.25,-4.13,-0.75,-0.12,1,0.852315733
1.88,1.37,1.25,0.5,0.5,1,0,0.88,4.13,0.88,0.25,0.5,-5.38,-20.25,-6.88,31.12,3.5,-2.25,-2.25,-0.37,-1.88,-2.63,-0.75,-1.63,-2.13,-0.25,-1.25,1.12,0,1.5,-1.37,0.25,5.63,-0.88,-0.12,1,0.890775017
1.63,1.5,0.88,0.12,0.37,1,0.37,0.75,-1,0.75,0.25,0.5,-5.75,-9.13,1.88,11.63,-9.88,-2.25,-2,-0.37,-2,-2.63,-0.75,-1.63,-2,-0.25,-1.5,0.75,0.12,1.5,-1.12,0,10.75,-0.75,0,1,0.933510938
2.38,1.25,0.88,0.75,0.5,1,0.88,0.5,-1,1.12,0.25,0.5,-31.12,-10.38,37.5,4.63,-10,-2.25,-2.13,-0.37,-2,-2.63,-0.88,-1.63,-1.88,-0.25,-1.37,0.63,0.37,1.75,-1.12,0.37,1.12,-0.5,-0.12,0.88,0.978747948
2.38,1.25,0.37,1,0.25,0.75,0.75,0.37,-0.75,1.25,0.5,0.5,-15.25,-4.25,5.25,-6,-10.75,-2.25,-2,-0.5,-2.13,-2.88,-0.75,-1.5,-1.88,-0.25,-1.5,0.75,0.25,-0.63,-0.75,-0.25,3.88,-0.63,-0.25,1.12,1.022879896
2.25,0.75,0.5,1,0.25,1.5,0.25,-0.12,-0.25,1.25,0.37,0.75,-5.13,12.38,-0.88,-10,-10.38,-2.25,-2.13,-0.5,-2.13,-2.63,-0.75,-1.25,-2.13,-0.5,-1.37,0.63,0,1,-1.12,-0.63,0.12,-0.37,-0.12,1.37,1.062432618
2.13,0.37,0.75,0.88,0,1.5,0.37,-0.37,-0.37,1.25,0.25,0.88,-4.13,5.63,-10.63,-9.75,-0.63,-2.25,-2.13,-0.63,-2,-2.63,-0.75,-1.37,-2.13,-0.63,-1.37,0.63,0,1.88,-1.25,-0.5,0,-0.5,0,1.37,1.095460561
1.63,0.37,0.88,0.75,0.25,1.25,-0.12,-0.12,0.25,1.12,0.75,0.75,5.5,5.88,0,-10.25,4.38,-2.25,-2.13,-0.63,-2,-2.63,-0.75,-1.37,-2,-0.5,-1.37,0.5,-0.12,2.5,-1.37,-0.37,0.25,-0.75,0.25,1.37,1.12169135
1.5,0.75,1.12,0.75,1,1.12,-0.5,0.37,0.37,1.12,0.88,0.75,12.13,-1.25,-0.63,-4.75,-22.62,-2.25,-2.13,-0.5,-2,-2.75,-0.5,-1.5,-2.13,-0.37,-1.37,0.37,0.12,2.5,-1.63,-0.25,0.5,-0.63,0.37,1.25,1.141994745
1.37,1,1.25,0.5,0.88,0.63,-0.37,0.37,0.12,1.5,0.63,0.63,6.88,-10.63,-15.38,-6.25,-9.63,-2.25,-2.25,-0.5,-2,-2.5,-0.63,-1.63,-2.13,-0.37,-1.37,0.75,0.12,2.5,-1.75,-0.25,-0.12,-0.12,0.37,0.75,1.157913229
1.75,1,0.75,1.75,0.88,0.25,0.12,0.37,0,1.75,0.63,0.37,4.13,-9.63,-15,-38.25,-9.25,-2.25,-2.25,-0.63,-2.25,-2.5,-0.63,-1.63,-2.25,-0.37,-1.37,0.12,0.37,1.5,-1.37,0.12,0,-0.25,0,0.5,1.171324306
