0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.5,0.12,-0.37,0,-1.12,-6.25,-8.88,23.75,6.5,-5.63,-4.25,-4,-1.25,-2.75,-2.5,-0.88,-1.63,-1.88,0.5,0.12,1,0,2.13,-0.12,0.37,1.5,0,0.88,1.88,2.25,2.38,2.5,0.37,0.37,0,-0.63,1.055810894
0.75,0.63,-0.75,0.12,-1.25,-5.25,-16.62,-8,31,4.38,-4.25,-4,-1.37,-2.63,-2.5,-0.75,-1.5,-1.88,0.5,0,0.75,0.12,1.75,-0.25,0.88,6.5,0.25,0.88,1.88,2.5,2.63,2.5,0.37,0,-0.12,-0.63,1.022745771
0.5,0.5,-0.5,-0.12,-1.25,-4.75,-4.75,0.75,15.13,-0.25,-4.25,-4,-1.37,-2.75,-2.63,-0.88,-1.75,-1.88,0.37,0,0.88,0.12,2.38,0.25,0.88,6.75,0.12,0.75,1.75,2.63,2.5,2.25,0.25,0.12,-0.12,0,0.993467493
0.75,-0.12,-0.5,0,-1.25,-1.88,-9.5,7.75,7.25,-10.25,-4.25,-3.75,-1.25,-2.75,-2.5,-0.75,-1.75,-1.75,0.75,-0.12,0.75,0.12,1.88,0.37,0.75,10.38,0.37,0.88,1.63,2.88,2.5,2.13,0.5,0.12,-0.12,0,0.969826199
0.37,-0.25,-0.25,-0.12,-1.25,-14.88,-9.38,37,3.88,-10.38,-4.25,-3.88,-1.25,-2.75,-2.38,-0.88,-1.63,-1.63,0.63,-0.25,0.63,0.25,1.37,-0.12,0.88,2.13,0.37,0.75,1.63,2.88,2.25,1.88,1.12,0,-0.25,0,0.952137528
0.12,-0.25,0,-0.12,-1.25,-10.5,-4.88,15.25,0.63,-10.75,-4.13,-3.63,-1.37,-2.75,-2.38,-0.88,-1.63,-1.75,0.37,-0.25,0.88,0.37,0.5,0.5,0.5,-0.12,0.37,0.75,1.75,2.75,2,1.75,0.88,0.12,0.37,-0.12,0.939470447
-0.37,0,-0.12,-0.12,-1,-9,21.75,5.13,-10.5,-9.88,-4.13,-3.88,-1.5,-2.88,-2.38,-0.63,-1.63,-1.75,0.37,-0.12,0.88,0,0.12,0,0.37,-0.25,0.63,0.63,2.13,2.63,1.75,2.38,1.12,-0.12,0.5,-0.37,0.928812512
-0.37,0.25,-0.12,-0.12,-1.12,-4.75,26,-6.25,-10,0.12,-4.13,-3.88,-1.37,-2.75,-2.38,-0.88,-1.5,-1.88,0.25,0,0.75,0.12,1.37,0.12,0.12,-0.5,0.5,0.75,2,2.5,1.5,2.63,1,0,0.37,-0.75,0.916103776
-0.5,0.37,-0.12,-0.12,-1.12,12.5,5.5,-10.5,-9.5,-0.5,-4.13,-4.13,-1.5,-2.75,-2.5,-0.88,-1.5,-2,0.25,0,0.75,0,1.63,-0.37,0.25,0.12,0.25,0.88,2,2.13,1.5,2.5,1,0.12,0.12,-0.75,0.897620436
0,0.5,-0.25,0.37,-1,26.87,5.5,-15.25,-5.75,3,-4.13,-3.88,-1.37,-2.75,-2.75,-0.63,-1.37,-1.88,0.25,0.12,0.63,0,2.25,-0.12,0.37,0.37,0.37,1.12,2,2,1.88,2.38,0.88,0.63,0.12,-1.12,0.871104483
