0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.5,1.88,1.75,1.25,1.75,3.63,1.5,2.5,-9.75,-20.75,-5,26.75,4.75,0.88,1,0.88,0.63,-0.88,-0.37,0.88,-0.37,-1.12,-3.5,1.5,0.63,1.75,-4,-1.12,-10.13,-3.88,-2.13,-3.75,-3.38,-1.5,-1.12,0,1.079738763
0,1.88,1.75,1.37,2,3.75,1,2.75,-9.63,10.88,-20.62,-4.75,8,0.88,0.88,1,0.75,-0.88,-0.12,0.75,-0.37,-1.5,-3.5,1.5,0.63,1.75,-3.75,-1.5,-5,-3.5,-2,-3.63,-3.25,-1.25,-1.12,0.12,1.046691153
0.25,2,1.75,1.37,1.75,3.88,0.88,2.5,-9.25,3.75,-14.25,10.75,6.13,0.88,0.88,0.88,0.63,-0.88,-0.37,0.88,-0.25,-1.25,-3.5,1.5,0.37,1.88,-3.75,-1.25,-3.25,-4,-1.88,-3.63,-3.25,-0.75,-1.12,-0.37,1.015227638
0.5,1.75,1.63,1.37,1.5,3.25,1.25,2.63,-4.25,-19.5,-3.88,12.63,-0.75,0.88,0.88,0.88,0.63,-1,0,0.75,-0.37,-1.12,-3.63,1.5,0.25,2.13,-3.75,-1.37,1.12,-3.63,-1.75,-3.75,-3.25,-0.88,-1.12,-0.63,0.985113395
0.75,1.75,1.88,1.25,1.12,3.25,1.5,2.63,-1.75,-9.63,8.25,8.75,-10,0.75,1,0.88,0.5,-1.12,-0.12,0.75,-0.37,-1.37,-3.75,1.5,0.25,1.88,-3.5,-1.37,9.88,-3.63,-1.75,-3.88,-2.88,-0.88,-1.63,-0.25,0.957811572
0.88,1.63,2.5,0.75,1.12,4,1.25,2.5,-15.88,-9.88,40.13,5.13,-9.63,0.75,0.88,1.12,0.5,-1,-0.12,0.75,-0.12,-1.37,-3.75,1,0.37,2.13,-3.25,-1.5,0.63,-3.5,-1.88,-3.75,-2.88,-1.25,-1.75,0.25,0.933349235
0.75,1.75,2.38,0.88,0.75,4,1.37,2.63,-15,-3.88,6.75,-5.38,0.25,0.88,1,0.88,0.37,-0.88,-0.12,0.75,-0.25,-1.25,-3.75,1.37,0.12,0,-3.38,-1.63,1.25,-3.5,-1.88,-3.75,-2.88,-1.75,-2,0.12,0.909899101
0.75,2.38,2.13,0.37,1.37,4.25,1.37,2.63,-20.5,22.12,10.25,-10.63,-9.5,0.88,1.12,0.75,0.5,-0.88,-0.12,0.88,-0.25,-1.37,-3.63,1.25,0.37,1.75,-3.5,-1.75,-0.12,-3.63,-2,-3.38,-3,-1.88,-1.5,0,0.884680192
0.63,2.38,2,0,1.5,4,1.37,2.75,-4.5,25.62,-1,-11.25,-5.25,0.88,1,0.75,0.5,-0.88,0,0.88,-0.25,-1.5,-3.75,1.37,0.12,2.25,-3.63,-1.5,-0.25,-3.75,-2,-3.13,-3,-1.75,-1.75,0,0.854961307
0.5,2.5,1.37,0.12,1.5,4,1.37,2.88,7.5,5,-10.75,-0.12,4.88,0.88,1,0.75,0.63,-1,-0.37,0.75,-0.12,-1.37,-3.63,1.37,0.25,2.13,-3.63,-1.75,0,-3.88,-1.88,-3.13,-3.38,-1.63,-1.5,0,0.819701905
0.63,1.88,1.37,0.63,1.37,3.88,1.63,2.63,11,4.75,-14.63,-9.75,-13.5,0.88,0.88,0.75,0.5,-0.88,0.25,1,-0.5,-1.5,-3.63,1.12,-0.25,2.75,-3.88,-1.63,-0.12,-3.75,-1.5,-3.5,-3.38,-1.25,-1.5,-0.12,0.780287095
1.5,2,1.12,0.75,1.5,4,2,2.5,15.88,-5.63,-14.88,-5.13,-11.88,0.88,0.88,0.88,0.37,-0.88,0,0.88,-0.5,-1.37,-3.75,1.25,0.25,4.5,-3.75,-1.5,0.25,-3.63,-1.37,-4.13,-3.63,-1.37,-1.63,-0.12,0.739578748
1.25,1.37,1.75,0.75,1.37,4.13,1.75,2.5,5.75,-10.88,-14.38,-1.25,-9.88,0.75,1,0.88,0.5,-0.88,-0.12,0.75,-0.5,-1.37,-3.63,1,0.25,3,-3.63,-1.5,0,-3.25,-1.5,-4,-3.25,-1.25,-1.75,0.5,0.700475439
1.25,1.12,1.75,0.75,1.25,4.5,1.63,2.25,4.63,-10.5,0.37,-37.63,-10.13,0.75,0.88,0.88,0.5,-0.63,-0.12,0.75,-0.25,-1.37,-3.75,1.25,0.63,3,-3.75,-1.5,0,-3.25,-1.75,-4.13,-3.13,-1.37,-1.63,0.37,0.665283477
0.88,1.25,1.75,0.88,1.25,4.5,1.5,2.25,-10.5,-9.88,-9.13,-16,-4.13,0.88,1,0.75,0.5,-0.75,-0.12,0.75,-0.37,-1.37,-3.75,1.37,0.63,1.63,-3.63,-1.63,-1.88,-3.5,-2,-3.88,-3.13,-1.63,-1.63,0.5,0.635974465
0.37,1.75,1.75,0.63,2.13,4.38,1,2.5,-10.38,0.25,-18.12,-13.75,25.75,0.88,0.88,0.75,0.63,-0.75,-0.25,0.75,-0.25,-1.5,-3.63,1.25,0.63,1.12,-3.75,-1.75,-4.13,-3.5,-2.25,-3.75,-3.25,-1.5,-1,0.25,0.614137472
0.25,1.88,1.75,0.63,1.88,4.13,1,2.5,-9.88,0.63,-24.75,-8.75,21.87,0.88,0.88,0.75,0.75,-1,-0.12,0.75,-0.25,-1.5,-3.63,1.63,0.37,1.75,-3.75,-1.63,-4.25,-3.38,-2.13,-3.63,-3.25,-1.5,-1.25,0.25,0.601128703
0,1.88,1.63,0.75,1.88,3.75,1,2.5,-0.12,2.88,-15.5,7.5,7.5,0.88,1,0.88,0.63,-1,-0.25,0.88,-0.37,-1.37,-3.38,1.5,0.88,1.75,-3.5,-1.5,-4.13,-3.75,-1.88,-3.63,-3.38,-1,-1.37,-0.12,0.59818496
0.5,1.88,1.5,1.25,1.63,3.75,1.37,2.63,1.88,-20.87,-5,31.62,-0.37,0.88,0.88,0.88,0.63,-1,-0.25,0.88,-0.37,-1.25,-3.5,1.37,-0.12,2,-3.75,-1.5,2,-3.88,-1.88,-3.63,-3.38,-0.75,-1.37,-0.37,0.606421969
0.75,1.75,1.88,1.12,1.12,3.38,1.12,2.5,-0.88,-9,1.5,2.25,-5.75,0.88,0.88,1,0.63,-1,-0.12,0.75,-0.37,-1.37,-3.63,1.63,0.12,2,-3.63,-1.25,11.38,-3.88,-1.88,-3.75,-3.25,-0.75,-1.75,-0.37,0.625978445
0.63,1.75,2.5,1,1.12,4,1.5,2.63,-13.5,-11.13,13.38,5.13,-10.25,0.88,1.12,0.88,0.37,-0.75,-0.12,0.75,-0.12,-1.12,-3.75,1.25,0.37,2.13,-3.5,-1.5,4.88,-3.63,-1.88,-3.75,-2.75,-1.25,-1.75,0,0.655733846
0.63,1.75,2.25,0.88,0.88,4,1.25,2.75,-20,-4.25,8.5,-1,-9.75,0.88,0.88,0.88,0.37,-0.88,-0.12,0.75,-0.25,-1.12,-3.5,1.25,0.37,1.63,-3.63,-1.37,1.12,-3.63,-1.88,-3.88,-2.88,-1.12,-2,0.12,0.694095524
