0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
3.38,4,2.25,3.13,1.5,1.5,3.5,2,-1.75,-4.88,-0.12,-0.25,2.5,-4,-2.13,1.75,-6.13,-4.25,-7.13,-6.88,-2.88,-3.25,0.25,1.63,3.13,3.25,1.25,2.25,4.75,1.88,5.13,-13.63,-9.75,37.38,5.63,0.12,0.675492092
3.38,3.63,2.25,3.13,1.5,1.63,3.5,2.25,-1.63,-4.88,-0.5,-0.37,2.63,-3.63,-2.25,0.25,-6.13,-4.25,-7.13,-6.38,-3,-3.25,0.5,1.88,3.13,3.38,1.37,2,5,1.88,5.38,-14.88,-3.63,20.75,-0.5,-9.75,0.689397463
3.38,3.88,2.25,3.38,1.63,1.5,3.5,2.38,-1.88,-4.75,-0.75,-0.25,1.12,-3.63,-2.25,1.12,-6.13,-4.38,-7.25,-6.63,-3.13,-3.38,0.37,1.63,3.5,3.38,1,2,5.13,1.63,5.38,-5.5,12.88,10.75,-10.5,-10,0.709168452
3.38,4.25,2.13,3.25,1.63,1.5,3.63,2.25,-1.88,-5,-0.5,-0.25,1.5,-3.63,-2.25,0,-6.13,-4.38,-6.75,-6.88,-3.25,-3.25,0.37,1.5,3.63,3.13,0.63,2.25,5,1.75,5.38,-3.5,30.12,0.37,-11.25,0.37,0.733178384
3.38,4.25,2,3.38,1.63,1.5,3.63,2.13,-1.88,-4.88,-0.63,-0.37,2,-3.88,-2.38,-0.37,-6.38,-4.5,-6.63,-6.88,-3.5,-2.88,0.37,1.5,3.5,2.88,1,2.38,5,1.75,5.38,12.5,6.25,-15.25,-4.38,4.75,0.760014839
3.38,4.13,2.25,3.38,1.63,1.5,3.63,2.13,-1.75,-4.88,-0.63,-0.5,2.25,-4,-2,0.63,-6.13,-4.13,-7,-7,-3.13,-3,0.5,2,3.25,2.75,1.12,2.25,5,2.13,5.38,27.12,5.13,-20.5,0.88,-22.37,0.788938273
3.25,3.88,2.25,3.25,1.5,1.63,3.63,2,-1.88,-4.88,-0.63,-0.37,3.25,-3.88,-2.25,0.5,-6.25,-4,-7,-7.13,-3,-3.13,0.25,1.75,3.25,2.5,1.25,2.25,4.88,2,5.25,5.25,-5.63,-14.38,-5.25,-15.75,0.820316871
3.38,3.75,2.25,3.38,1.5,1.63,3.63,2,-1.75,-4.88,-0.63,-0.37,4.25,-3.75,-2.13,0,-6,-4,-7.25,-7,-3,-3.13,0.5,1.88,2.88,3.13,1.25,2.13,5.38,2,5.13,5,-9.63,0,-23.87,-5.38,0.855533045
3.25,4,2.25,3.38,1.63,1.75,3.38,2.13,-1.75,-4.88,-0.88,0,2.88,-3.88,-2.13,0,-6,-4.13,-7.25,-7,-3.13,-3.25,0.63,1.63,2.75,3.13,1.25,2.25,5.13,1.75,5,-6.38,-10,-15,-26.37,-2.63,0.895830009
3.25,4,2.25,3.25,1.63,1.75,3.38,2.13,-1.75,-5,-0.63,0,3,-3.88,-2.25,-0.37,-6.13,-4.5,-7,-6.88,-3.13,-3.25,0.75,1.37,2.88,3,1.25,2.63,5.25,1.75,5.25,-10.38,-9.38,-7.13,-8.63,13.25,0.940615209
3.38,4,2.13,3.5,1.63,1.5,3.5,2.13,-1.88,-4.88,-0.63,0,1.5,-3.75,-2.25,-6.25,-5.88,-4.38,-7.25,-6.88,-3.13,-2.75,0.63,1.12,3.25,3,1.12,2.75,5.13,1.63,5.13,-9.5,0.75,-43.5,-9,26.62,0.986824542
3.25,4,2.13,3.5,1.63,1.37,3.63,2.13,-1.75,-4.75,-0.63,0.12,1.75,-3.63,-2.5,-5,-6.13,-4.38,-7.13,-6.88,-3.25,-2.75,0.5,1.12,3.13,2.88,1.25,2.63,5.13,1.63,5.38,-9.63,-0.88,-15.25,1,8.13,1.030418879
3.38,4,2.25,3.63,1.5,1.37,3.63,2.13,-2,-4.88,-0.5,0.25,2.13,-3.75,-2.25,-4.13,-6.13,-4.38,-7.13,-7,-3,-3.25,0,1.25,3.25,3,1.75,2.38,4.63,1.88,5.25,-4.25,-22.87,-19.25,32.13,4,1.068423168
3.25,4,2.25,3.5,1.37,1.63,3.63,2.13,-1.75,-4.75,-0.63,-0.37,2.25,-4,-2,-3.38,-6.25,-4.38,-7,-7,-2.75,-3.13,0.12,1.63,3.25,2.88,1.5,2.5,4.5,1.88,5.25,5.13,-4.75,-8.25,7.5,-6.25,1.099692411
3.38,4,2.25,3.38,1.5,1.5,3.5,2.13,-1.75,-4.75,-0.25,-0.37,2.38,-3.88,-2.25,1.12,-6.25,-4.38,-7.13,-6.88,-2.88,-3.13,0,1.37,3.13,3.5,1.37,2.13,4.88,1.75,5.13,-17.87,-11.25,27.75,5.38,-9.38,1.124570974
3.38,3.75,2.25,3.25,1.5,1.63,3.63,2.25,-1.88,-5,-0.5,-0.25,2.5,-3.75,-2,4.5,-6.13,-4.38,-7.13,-6.63,-2.88,-3.25,0.5,1.63,3.13,3.38,1.25,1.88,5,1.75,5.25,-15.25,-4.38,32,-5.75,-10.25,1.144341434
3.38,3.75,2.25,3.13,1.5,1.63,3.5,2.13,-1.88,-4.75,-0.63,-0.25,1.25,-3.75,-2.38,4.75,-6.13,-4.5,-7.13,-6.63,-3.13,-3.25,0.37,1.63,3.38,3.25,1,2.38,5,1.75,5.38,-5.5,12.63,6.75,-1,-9.63,1.1606813
3.38,4.13,2.25,3.38,1.63,1.5,3.63,2.38,-1.88,-5,-0.63,-0.25,1.37,-3.63,-2.13,-0.88,-6.13,-4.38,-6.63,-6.75,-3.25,-3,0.5,1.63,3.5,3.13,1,2.25,5,1.75,5.38,-4.25,30.87,-6.88,0.37,0.25,1.175245281
3.38,4.13,2.25,3.38,1.63,1.5,3.63,2.13,-1.88,-5,-0.63,-0.37,2.13,-3.88,-2.38,0,-6.13,-4.5,-6.88,-6.75,-3.38,-3.13,0.5,1.5,3.5,2.88,0.88,2.38,5,1.75,5.38,7.25,7.5,0,-9.75,-0.37,1.189475515
3.38,4.25,2.13,3.25,1.63,1.5,3.63,2.13,-2,-4.88,-0.63,-0.37,2.63,-3.88,-2.5,0.37,-6.13,-4.25,-6.75,-7.25,-3.25,-3,0.37,1.5,3.38,2.75,1.25,2.38,5,2.13,5.38,32.13,3,-15,-4.88,-12.88,1.204385228
3.38,3.88,2.13,3.38,1.5,1.75,3.63,2.13,-1.88,-4.88,-0.63,-0.5,2.75,-4.13,-2.13,0.12,-6.25,-4,-7,-7.13,-3.13,-3.38,0.37,2.13,3.38,2.5,1.25,2.38,4.88,2,5.25,5.88,-5.5,-14.63,-4.13,-11.5,1.220538267
3.38,3.88,2.13,3.38,1.5,1.5,3.63,2.13,-1.75,-5,-0.75,-0.37,4.25,-3.88,-2.25,0.37,-6,-4.13,-7.25,-7.13,-3.13,-3.38,0.63,2,2.88,3,1.25,2.38,5.25,2,5.13,5.88,-10.63,-14.63,-13.75,-15.25,1.237936735
3.25,3.88,2.25,3.38,1.63,1.63,3.5,2.13,-1.75,-5,-0.63,-0.12,2.75,-3.88,-2.13,0,-6,-4.38,-7.38,-6.88,-3.13,-3.25,0.75,1.88,2.75,3,1.25,2.13,5.13,1.88,5.13,-5.5,0.63,-9.13,-21.12,-3.75,1.256042159
3.25,4,2.13,3.25,1.63,1.63,3.38,2.13,-1.75,-4.88,-0.75,0,2.25,-3.88,-2.38,-0.25,-6,-4.25,-6.88,-6.88,-3.13,-3.25,0.75,1.63,2.88,3,1.12,2.5,5.25,1.63,5,-10.5,-9.63,-6.75,-15.63,12.63,1.273840016
3.25,4,2.25,3.38,1.63,1.5,3.5,2.13,-1.75,-4.75,-0.63,0,0.88,-4,-2.25,-5.25,-6,-4.5,-7.25,-6.88,-3,-2.75,0.75,1.25,3.25,3,1.25,2.5,5.13,1.63,5.25,0.75,0.37,-44.75,-12.88,25.5,1.289814647
3.38,4,2.25,3.5,1.63,1.5,3.63,2.13,-1.88,-4.75,-0.5,-0.12,1.88,-4,-2.63,-4.63,-6,-4.5,-7,-6.88,-3.25,-2.63,0.37,1.25,3.25,3,1.12,2.63,4.88,1.5,5.25,-9.63,4.63,-15.25,1.12,7.75,1.30163436
3.38,4.13,2.25,3.38,1.37,1.63,3.63,2.13,-1.88,-4.88,-0.5,0,1.88,-4,-2.38,-3.88,-6.25,-4.38,-7.13,-7,-2.75,-2.75,0.12,1.37,3.25,2.88,1.75,2.5,4.75,1.75,5.38,-5.13,-16.37,-8.5,31.25,5,1.305687535
3.38,4.13,2.25,3.38,1.5,1.5,3.63,2.13,-1.63,-5,-0.37,-0.25,2.63,-4,-2,1.63,-6,-4.38,-7.13,-7,-2.75,-3.25,0,1.5,3.25,3.38,1.5,1.88,5,1.88,5.13,-23.5,-10.25,37.88,3.75,-11.38,1.297521363
3.38,3.75,2.25,3.13,1.5,1.63,3.63,2.13,-1.63,-4.88,-0.75,-0.25,1.88,-4,-2.38,-0.25,-6.13,-4.38,-7.13,-6.63,-3.25,-3.25,0.5,1.5,3.75,3.25,0.88,2.38,5,1.88,5.5,-8.5,21.12,5.13,-10.25,-0.12,1.27417313
3.38,4.25,2.13,3.38,1.37,1.5,3.5,2.13,-1.75,-4.88,-0.63,-0.5,2.13,-3.88,-2.5,0,-6.25,-4.38,-6.88,-7.13,-3.25,-2.88,0.37,1.75,3.38,2.75,1.25,2.38,5,2,5.25,14.63,-5.5,-15.25,0.37,-21.37,1.236394201
3.38,3.75,2.25,3.38,1.5,1.63,3.63,2,-1.75,-5,-0.75,-0.5,3.88,-4,-2.13,0.12,-5.88,-4.13,-7.13,-6.88,-3.13,-2.88,0.88,1.88,2.75,3.13,1.25,2.13,5.38,1.88,5.13,-0.5,-9.38,-4.5,-16.37,-4.75,1.18794046
3.25,4,2.25,3.5,1.63,1.75,3.38,2.13,-1.88,-5,-0.63,0.12,1,-3.88,-2.25,-6.25,-6.25,-4.38,-7.13,-6.88,-3,-2.75,0.5,1.25,3.38,3,1.12,2.63,5.25,1.37,5.38,-9.75,1.12,-20.25,-2.88,6.75,1.133250535
3.38,4,2.25,3.5,1.5,1.5,3.63,2,-1.88,-4.75,-0.75,0,2.13,-3.88,-1.75,-3.63,-6.38,-4.63,-7,-7.13,-2.75,-2.88,0.12,1.75,3.25,2.88,1.63,2.5,4.63,1.88,5.25,-0.37,-14.5,13,6.13,-10.5,1.075947386
