0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-3.63,-2.38,-1.37,-3.5,-2.25,-1.37,-3,-2.63,0.5,0.75,1.37,0.5,3.25,0.37,0.5,0.25,2.5,2.38,3.25,2.88,1.63,2,-0.63,0.12,-1.25,-1.5,-0.12,-0.75,-1.88,0.12,-2.13,2,-6.13,0.25,-5.75,-20.25,1.087902665
-3.63,-1.5,-1.5,-3.63,-2.38,-1.37,-2.88,-2.5,0.5,0.75,1.75,0.75,2.88,0.25,0.63,0.12,2.25,2.25,3.5,2.88,1.75,2.13,-0.63,-0.25,-1.37,-1.5,0,-0.88,-1.63,0,-2.25,6.38,-0.12,-14.63,-5.25,-15.88,1.064780269
-3.63,-2.5,-1.37,-3.5,-2.25,-1.5,-3,-2.63,0.5,0.63,1.5,0.63,2.5,0.37,0.63,-0.12,2.75,2.25,3.13,3.5,1.75,1.88,-0.12,-0.12,-1.75,-0.88,0,-0.88,-1.12,-0.25,-2.38,-0.88,-10.13,-9.75,-34.25,-4.75,1.044257041
-3.5,-2.63,-1.37,-3.5,-2.25,-1.37,-3.13,-2.5,0.37,0.5,1.25,1,3.88,0.63,0.5,-0.37,2.75,2.25,2.75,3.63,1.75,1.75,0,-0.37,-1.5,-0.88,0,-0.88,-1.5,-0.37,-2.38,-0.25,-9.5,-11.63,-14.25,13.13,1.025477305
-3.63,-2.5,-1.5,-3.38,-2.13,-1.63,-3.13,-2.5,0.37,0.63,1.75,1.12,0.25,0.63,0.25,-10.63,3,1.88,3.25,3.75,1.5,2.38,-0.12,-1,-1,-0.88,-0.12,-0.25,-1.63,-0.63,-2.25,-9.63,0.75,-39.63,-5.38,26.75,1.009583645
-3.63,-2.38,-1.5,-3.38,-2.25,-1.63,-3.13,-2.5,0.37,0.75,2,0.88,1,0.5,0.37,-4.38,2.63,1.5,3.5,3.5,1.37,2.38,-0.12,-1,-1,-1,-0.12,-0.5,-1.75,-0.75,-2.13,-9.63,5.25,-10.88,7,8.63,0.996194107
-3.5,-2.38,-1.25,-3.38,-2.38,-1.63,-3,-2.5,0.37,0.88,2.25,1.12,1.25,0.5,0.37,-2.75,2.25,1.88,3.38,3.38,1.75,2.13,-1,-1,-1.12,-1,0.5,-0.5,-2.13,-0.5,-2.25,-10.13,-15.13,-4.5,27,4.25,0.983802592
-3.63,-2.13,-1.25,-3.25,-2.38,-1.5,-3,-2.5,0.5,0.63,1.88,0.5,1.63,0.63,0.63,5.88,2.13,1.88,3.38,3.38,2.13,2.38,-0.88,-0.5,-1.12,-1,0.5,-0.88,-2.25,-0.37,-2.13,-4,-10.5,7.38,6,-5.25,0.969442593
-3.63,-2.75,-1.37,-3.63,-2.38,-1.5,-3.13,-2.5,0.5,0.63,2.13,0.63,1.63,0.63,0.5,11.38,2.13,2.25,3.25,3.63,2,1.63,-1.12,-0.37,-1.12,-0.25,0.37,-1.12,-1.63,-0.25,-2.25,-18.62,-9.5,17.75,3.38,-10.13,0.949433596
-3.63,-2.75,-1.37,-3.63,-2.38,-1.5,-3.13,-2.25,0.37,0.63,1.75,0.88,1.88,1,0.63,2.63,2.5,2.25,3.25,3.88,2.13,1.37,-0.5,-0.25,-1.25,0,-0.12,-1.25,-1.63,-0.37,-2.25,-15.88,-5,9.38,-5.38,-9.5,0.921332729
-3.63,-2.5,-1.5,-3.38,-2.38,-1.63,-3.25,-2.38,0.63,0.5,1.88,0.75,0.25,0.88,0.5,2.13,2.5,2,3.25,3.75,1.5,1.37,-0.5,-0.5,-0.5,-0.63,-0.37,-0.88,-1.75,-0.37,-2,-9.5,16,5.75,0,-9,0.885316962
-3.5,-2.38,-1.5,-3.5,-2.38,-1.5,-2.88,-2.38,0.25,0.5,1.75,0.5,0.63,0.75,-0.12,4,2.5,2.13,3.88,3.75,1.25,2.25,-0.5,-0.63,-0.5,-0.63,-0.5,-0.88,-1.75,-0.37,-1.88,-4.38,14.88,-5,-10.13,0.37,0.844200788
-3.5,-1.75,-1.37,-3.5,-2.25,-1.75,-2.88,-2.38,0.25,0.75,1.88,0.75,1.63,0.63,0,0.12,2.38,2,4,3.63,0.88,2,-1,-0.63,-0.63,-1.12,-0.5,-0.5,-1.75,-0.37,-2.13,12.25,5.38,-16.25,-9.5,-1.75,0.801962439
-3.5,-1.88,-1.63,-3.5,-2.25,-1.5,-2.88,-2.5,0.25,0.75,1.75,0.25,1.37,0.25,0.63,0.25,2.5,2.63,3.63,3.13,1.5,2.13,-0.5,-0.12,-0.75,-1.5,-0.25,-0.63,-1.88,0.12,-2,29.87,-1.63,-0.12,-4.25,-8.25,0.762194301
-3.63,-1.25,-1.37,-3.25,-2.38,-1.5,-3,-2.75,0.25,0.75,1.75,0.5,2.63,0.12,0.75,0.25,2.38,2.5,3.5,2.75,1.63,1.88,-0.63,0.37,-1.5,-1.5,-0.12,-0.88,-2,0.12,-2.38,5.63,-5.13,-15.88,-5.5,-14.63,0.727520494
-3.63,-1.75,-1.37,-3.5,-2.38,-1.37,-3,-2.63,0.37,0.63,1.75,0.75,2.5,0.37,0.37,0.37,2.75,2.38,3,3,1.75,1.88,-0.25,0.12,-1.5,-1.12,0,-0.75,-1,-0.12,-2.25,3.38,-10.38,-14,-34.5,-16,0.69970604
-3.5,-2.38,-1.37,-3.5,-2.13,-1.25,-3.13,-2.5,0.37,0.75,1.5,1.12,2,0.5,0.63,0.25,2.75,2.25,2.75,3.5,1.63,1.5,0.25,-0.12,-1.5,-1,0,-0.88,-1.25,-0.12,-2.38,-10.13,-0.37,-4.38,-16.87,-4.25,0.680309187
